========================================================================================================================
>>>>>>>                                             START NEW SESSION                                            <<<<<<<
========================================================================================================================
INFO:      itccoord.c:203                           msg: Starting itccoord daemon...
DEBUG:     itc.c:299                                msg: Running q_init for the first mailbox to itc_inst.free_mbox_queue!
DEBUG:     itc.c:304                                msg: Running q_enqueue mailbox 0 to itc_inst.free_mbox_queue!
DEBUG:     itc_queue.c:129                          msg: Queue now is empty, add the first node!
DEBUG:     itc.c:304                                msg: Running q_enqueue mailbox 1 to itc_inst.free_mbox_queue!
DEBUG:     itc.c:304                                msg: Running q_enqueue mailbox 2 to itc_inst.free_mbox_queue!
DEBUG:     itc_local.c:122                          msg: ENTER local_init()!
DEBUG:     itc_sysvmq.c:493                         msg: Open file /tmp/itc/sysvmsq/sysvmsq_file successfully!
DEBUG:     itc.c:580                                msg: Creating mailbox name itc_rx_sysvmq_0x00100000
DEBUG:     itc_queue.c:186                          msg: Queue currently has 3 items!
DEBUG:     itc_sysvmq.c:327                         msg: Starting sysvmq_rx_thread itc_rx_sysvmq_0x00100000...!
DEBUG:     itc_sysvmq.c:217                         msg: Get max msg size successfully, max_msgsize = 8192!
DEBUG:     itc_threadmanager.c:119                  msg: Starting a thread, tid = 139674675439168!
DEBUG:     itc.c:580                                msg: Creating mailbox name itc_coord_mailbox
DEBUG:     itc_queue.c:186                          msg: Queue currently has 2 items!
INFO:      itccoord.c:270                           msg: Enqueue process index = 2 to free_list!
INFO:      itccoord.c:271                           msg: Enqueue process n-th to free_list!
DEBUG:     itc_queue.c:129                          msg: Queue now is empty, add the first node!
INFO:      itccoord.c:283                           msg: Enqueue process index = 254 to free_list!
INFO:      itccoord.c:647                           msg: Dequeue a process from free_list!
INFO:      itccoord.c:658                           msg: Enqueue process mbox_id = 0x00200000 to used_list!
DEBUG:     itc_queue.c:129                          msg: Queue now is empty, add the first node!
INFO:      itccoord.c:746                           msg: Sent itc_locate_coord_reply successfully!
INFO:      itccoord.c:375                           msg: Process with fd 6 is in state PROC_LISTENING!
INFO:      itccoord.c:862                           msg: Connecting to the process with pid = 258073
INFO:      itccoord.c:911                           msg: Sending ACK signature to the process successfully, pid = 258073
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x00000000, size = 33
DEBUG:     itc_sysvmq.c:637                         msg: Forwarding a message to local mailbox from external mbox = 0x00200000
DEBUG:     itc.c:878                                msg: Prepare to send message from 0xfff00000 to 0x00100001, msgno = 0x90000503
DEBUG:     itc_local.c:481                          msg: RX queue is empty, add a new one!
DEBUG:     itc.c:913                                msg: Sent successfully on trans_mechanism[0]!
DEBUG:     itc.c:954                                msg: Notify receiver about sent messages!
INFO:      itccoord.c:409                           msg: Calling handle_incoming_request()!
DEBUG:     itc_local.c:511                          msg: RX queue has only one item, dequeue it!
DEBUG:     itc.c:998                                msg: Received a message on trans_mechanisms[0]!
INFO:      itccoord.c:924                           msg: ITC_NOTIFY_COORD_ADD_MBOX received!
INFO:      itccoord.c:925                           msg: ITC_NOTIFY_COORD_ADD_MBOX mbox_id = 0x00200000
INFO:      itccoord.c:926                           msg: ITC_NOTIFY_COORD_ADD_MBOX mbox_name = itc_rx_sysvmq_0x00200000!
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x90000503
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x00000000, size = 27
DEBUG:     itc_sysvmq.c:637                         msg: Forwarding a message to local mailbox from external mbox = 0x00200001
DEBUG:     itc.c:878                                msg: Prepare to send message from 0xfff00000 to 0x00100001, msgno = 0x90000503
DEBUG:     itc_local.c:481                          msg: RX queue is empty, add a new one!
DEBUG:     itc.c:913                                msg: Sent successfully on trans_mechanism[0]!
DEBUG:     itc.c:954                                msg: Notify receiver about sent messages!
INFO:      itccoord.c:409                           msg: Calling handle_incoming_request()!
DEBUG:     itc_local.c:511                          msg: RX queue has only one item, dequeue it!
DEBUG:     itc.c:998                                msg: Received a message on trans_mechanisms[0]!
INFO:      itccoord.c:924                           msg: ITC_NOTIFY_COORD_ADD_MBOX received!
INFO:      itccoord.c:925                           msg: ITC_NOTIFY_COORD_ADD_MBOX mbox_id = 0x00200001
