========================================================================================================================
>>>>>>>                                             START NEW SESSION                                            <<<<<<<
========================================================================================================================
INFO:      itc_gw_daemon.c:220                      msg: Starting itcgws daemon...
DEBUG:     itc.c:192                                msg: Start locating itccoord!
DEBUG:     itc.c:299                                msg: Running q_init for the first mailbox to itc_inst.free_mbox_queue!
DEBUG:     itc.c:304                                msg: Running q_enqueue mailbox 0 to itc_inst.free_mbox_queue!
DEBUG:     itc_queue.c:129                          msg: Queue now is empty, add the first node!
DEBUG:     itc.c:304                                msg: Running q_enqueue mailbox 1 to itc_inst.free_mbox_queue!
DEBUG:     itc.c:304                                msg: Running q_enqueue mailbox 2 to itc_inst.free_mbox_queue!
DEBUG:     itc.c:304                                msg: Running q_enqueue mailbox 3 to itc_inst.free_mbox_queue!
DEBUG:     itc.c:304                                msg: Running q_enqueue mailbox 4 to itc_inst.free_mbox_queue!
DEBUG:     itc_local.c:122                          msg: ENTER local_init()!
DEBUG:     itc_sysvmq.c:493                         msg: Open file /tmp/itc/sysvmsq/sysvmsq_file successfully!
DEBUG:     itc_lsocket.c:181                        msg: itccoord is running!
DEBUG:     itc_lsocket.c:184                        msg: lsockpath not created yet, create it!
DEBUG:     itc_lsocket.c:272                        msg: lsockpath /tmp/itc/socket/ already exists!
DEBUG:     itc.c:580                                msg: Creating mailbox name itc_rx_sysvmq_0x00200000
DEBUG:     itc_queue.c:186                          msg: Queue currently has 5 items!
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x90000503, size = 33
DEBUG:     itc.c:878                                msg: Prepare to send message from 0x00200000 to 0x00100001, msgno = 0x90000503
DEBUG:     itc.c:1381                               msg: Mailbox not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_local.c:422                          msg: Not belong to this process, mbox_id = 0x00100000, my_mbox_id_in_itccoord = 0x00200000
DEBUG:     itc_local.c:303                          msg: Not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_sysvmq.c:518                         msg: Add contact list!
DEBUG:     itc_sysvmq.c:565                         msg: Get sysv message queue: proj_id = 1!
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x90000503
DEBUG:     itc.c:913                                msg: Sent successfully on trans_mechanism[1]!
DEBUG:     itc.c:683                                msg: Sent notification to itccoord regarding ADD mailbox id = 0x00200000
DEBUG:     itc_sysvmq.c:327                         msg: Starting sysvmq_rx_thread itc_rx_sysvmq_0x00200000...!
DEBUG:     itc_sysvmq.c:217                         msg: Get max msg size successfully, max_msgsize = 8192!
DEBUG:     itc_threadmanager.c:119                  msg: Starting a thread, tid = 139684699567680!
DEBUG:     itc.c:580                                msg: Creating mailbox name itc_gw_udp_mailbox
DEBUG:     itc_queue.c:186                          msg: Queue currently has 4 items!
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x90000503, size = 27
DEBUG:     itc.c:878                                msg: Prepare to send message from 0x00200001 to 0x00100001, msgno = 0x90000503
DEBUG:     itc.c:1381                               msg: Mailbox not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_local.c:422                          msg: Not belong to this process, mbox_id = 0x00100000, my_mbox_id_in_itccoord = 0x00200000
DEBUG:     itc_local.c:303                          msg: Not belong to this process, mbox_id = 0x00100001
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x90000503
DEBUG:     itc.c:913                                msg: Sent successfully on trans_mechanism[1]!
DEBUG:     itc.c:683                                msg: Sent notification to itccoord regarding ADD mailbox id = 0x00200001
INFO:      itc_gw_daemon.c:422                      msg: Setup UDP mailbox "itc_gw_udp_mailbox" successfully!
INFO:      itc_gw_daemon.c:469                      msg: Setup my UDP successfully on 0.0.0.0:11111
INFO:      itc_gw_daemon.c:486                      msg: Setup UDP peer successfully on 255.255.255.255:11112
INFO:      itc_gw_daemon.c:546                      msg: Broadcast timer fd 6 created successfully!
INFO:      itc_gw_daemon.c:611                      msg: Retrieve address from network interface "lo" -> tcp://127.0.0.1:0
INFO:      itc_gw_daemon.c:533                      msg: Setup TCP server successfully on 127.0.0.1:22222
INFO:      itc_gw_daemon.c:619                      msg: Broadcasting message created successfully -> "Broadcast Message: ITCGW listening on tcp://127.0.0.1:22222/"
DEBUG:     itc.c:580                                msg: Creating mailbox name itc_gw_tcp_server_mailbox
DEBUG:     itc_queue.c:186                          msg: Queue currently has 3 items!
DEBUG:     itc.c:493                                msg: Allocating itc msg msgno 0x90000503, size = 34
DEBUG:     itc.c:878                                msg: Prepare to send message from 0x00200002 to 0x00100001, msgno = 0x90000503
DEBUG:     itc.c:1381                               msg: Mailbox not belong to this process, mbox_id = 0x00100001
DEBUG:     itc_local.c:422                          msg: Not belong to this process, mbox_id = 0x00100000, my_mbox_id_in_itccoord = 0x00200000
DEBUG:     itc_local.c:303                          msg: Not belong to this process, mbox_id = 0x00100001
DEBUG:     itc.c:533                                msg: Freeing itc msg msgno 0x90000503
